Date,Description,Amount
01/01/2023,INTEREST CREDIT,83621.77
02/01/2023,STARBUCKS,-462.43
03/01/2023,MONTHLY RENT PAYMENT,-22162.16
03/01/2023,WHOLE FOODS MKT,-1918.09
03/01/2023,DUNKIN,-433.52
05/01/2023,ICLOUD STORAGE,-512.28
06/01/2023,CHIPOTLE,-472.23
08/01/2023,SPOTIFY PREMIUM,-196.33
08/01/2023,IKEA,-2108.24
09/01/2023,IRCTC TRAIN,-305.05
09/01/2023,SHELL FUEL,-236.53
10/01/2023,PUBLIX,-1394.66
10/01/2023,DOORDASH,-386.9
10/01/2023,HP PETROL PUMP,-186.42
11/01/2023,DOMINOS PIZZA,-395.02
12/01/2023,LINKEDIN PREMIUM,-1492.9
13/01/2023,STARBUCKS,-528.69
15/01/2023,HOTSTAR,-646.75
17/01/2023,CHIPOTLE,-377.21
18/01/2023,AT&T WIRELESS,-2415.42
18/01/2023,LIDL,-1596.35
19/01/2023,TACO BELL,-411.14
20/01/2023,MCDONALDS,-554.53
20/01/2023,AJIO,-2072.96
22/01/2023,CAFE COFFEE DAY,-462.69
22/01/2023,METRO CARD RECHARGE,-289.26
22/01/2023,BP PETROL,-271.8
23/01/2023,DUNKIN,-358.28
25/01/2023,WALMART GROCERY,-1528.84
25/01/2023,SUBWAY,-425.24
25/01/2023,OLA CABS,-262.57
25/01/2023,VENMO PAYMENT,-2342.32
01/02/2023,DIVIDEND PAYOUT,85920.77
01/02/2023,CHIPOTLE,-474.98
02/02/2023,NIKE STORE,-1729.19
02/02/2023,UPI TRANSFER,-2472.23
03/02/2023,LANDLORD RENT,-22337.52
03/02/2023,WALMART GROCERY,-2039.21
03/02/2023,APPLE STORE,-2765.35
05/02/2023,MICROSOFT 365,-509.44
05/02/2023,NIKE STORE,-2464.49
06/02/2023,CAFE COFFEE DAY,-406.97
08/02/2023,DISNEY PLUS,-210.23
08/02/2023,UBER EATS,-390.5
08/02/2023,LYFT RIDE,-237.43
09/02/2023,ZARA,-1764.72
10/02/2023,TESCO,-2259.44
12/02/2023,HBO MAX,-1497.83
12/02/2023,KFC,-551.11
12/02/2023,DUNKIN,-370.5
12/02/2023,NEFT TRANSFER,-2294.34
13/02/2023,SUBWAY,-473.29
14/02/2023,DOORDASH,-475.94
15/02/2023,ICLOUD STORAGE,-657.77
15/02/2023,IRCTC TRAIN,-186.41
17/02/2023,TESCO,-1585.04
17/02/2023,CHIPOTLE,-614.6
18/02/2023,ELECTRIC BILL PAYMENT,-2786.57
20/02/2023,LYFT RIDE,-223.82
21/02/2023,MCDONALDS,-417.32
21/02/2023,IRCTC TRAIN,-217.73
21/02/2023,HP PETROL PUMP,-265.29
22/02/2023,PARKING FEE,-334.12
23/02/2023,PANERA BREAD,-512.12
24/02/2023,WHOLE FOODS MKT,-1756.15
24/02/2023,CHIPOTLE,-372.27
25/02/2023,DELHI METRO,-184.21
01/03/2023,INTEREST CREDIT,86761.53
02/03/2023,SPROUTS FARMERS MKT,-2021.29
03/03/2023,MONTHLY RENT PAYMENT,-22342.51
03/03/2023,HP PETROL PUMP,-284.89
03/03/2023,H&M,-1985.91
05/03/2023,HOTSTAR,-514.0
05/03/2023,DOMINOS PIZZA,-437.75
07/03/2023,SHELL FUEL,-267.94
08/03/2023,DISNEY PLUS,-214.99
08/03/2023,LYFT RIDE,-312.96
09/03/2023,RELIANCE FRESH,-1401.25
09/03/2023,PANERA BREAD,-387.22
10/03/2023,LYFT RIDE,-223.8
11/03/2023,TACO BELL,-407.35
12/03/2023,ICLOUD STORAGE,-1527.76
12/03/2023,SUBWAY,-495.79
13/03/2023,SWIGGY ORDER,-455.78
13/03/2023,SUBWAY,-379.92
15/03/2023,NETFLIX,-656.05
18/03/2023,COMCAST XFINITY,-2312.98
18/03/2023,DMART,-1931.41
18/03/2023,LYFT RIDE,-298.22
