date,,DrCr,amount,balance
2023-01-01,SALARY CREDIT ACME CORP,CR,85000.00,185000.00
2023-01-02,RENT PAYMENT LANDLORD,DR,22000.00,163000.00
2023-01-03,SPOTIFY PREMIUM,DR,119.00,162881.00
2023-01-05,NETFLIX SUBSCRIPTION,DR,513.97,162367.03
2023-01-08,BIGBASKET GROCERIES,DR,2400.00,159967.03
2023-01-18,UBER RIDE,DR,300.00,159667.03
2023-02-01,SALARY CREDIT ACME CORP,CR,85850.00,245517.03
2023-02-02,RENT PAYMENT LANDLORD,DR,22000.00,223517.03
2023-02-03,SPOTIFY PREMIUM,DR,121.38,223395.65
2023-02-05,NETFLIX SUBSCRIPTION,DR,484.03,222911.62
2023-02-08,BIGBASKET GROCERIES,DR,2475.73,220435.89
2023-02-18,UBER RIDE,DR,281.61,220154.28
2023-03-01,SALARY CREDIT ACME CORP,CR,86700.00,306854.28
2023-03-02,RENT PAYMENT LANDLORD,DR,22000.00,284854.28
2023-03-03,SPOTIFY PREMIUM,DR,116.62,284737.66
2023-03-05,NETFLIX SUBSCRIPTION,DR,503.99,284233.67
2023-03-08,BIGBASKET GROCERIES,DR,2481.84,281751.83
2023-03-18,UBER RIDE,DR,243.35,281508.48
2023-04-01,SALARY CREDIT ACME CORP,CR,87550.00,369058.48
2023-04-02,RENT PAYMENT LANDLORD,DR,22000.00,347058.48
2023-04-03,SPOTIFY PREMIUM,DR,122.57,346935.91
2023-04-05,NETFLIX SUBSCRIPTION,DR,518.96,346416.95
2023-04-08,BIGBASKET GROCERIES,DR,2412.70,344004.25
2023-04-18,UBER RIDE,DR,220.40,343783.85
2023-05-01,SALARY CREDIT ACME CORP,CR,88400.00,432183.85
2023-05-02,RENT PAYMENT LANDLORD,DR,22000.00,410183.85
2023-05-03,SPOTIFY PREMIUM,DR,115.43,410068.42
2023-05-05,NETFLIX SUBSCRIPTION,DR,479.04,409589.38
2023-05-08,BIGBASKET GROCERIES,DR,2331.89,407257.49
2023-05-18,UBER RIDE,DR,233.85,407023.64
2023-06-01,SALARY CREDIT ACME CORP,CR,89250.00,496273.64
2023-06-02,RENT PAYMENT LANDLORD,DR,22000.00,474273.64
2023-06-03,SPOTIFY PREMIUM,DR,120.19,474153.45
2023-06-05,NETFLIX SUBSCRIPTION,DR,508.98,473644.47
2023-06-08,BIGBASKET GROCERIES,DR,2313.70,471330.77
2023-06-18,UBER RIDE,DR,271.35,471059.42
2023-07-01,SALARY CREDIT ACME CORP,CR,90100.00,561159.42
2023-07-02,RENT PAYMENT LANDLORD,DR,22000.00,539159.42
2023-07-03,SPOTIFY PREMIUM,DR,123.76,539035.66
2023-07-05,NETFLIX SUBSCRIPTION,DR,494.01,538541.65
2023-07-08,BIGBASKET GROCERIES,DR,2374.85,536166.80
2023-07-18,UBER RIDE,DR,298.41,535868.39
2023-07-22,MACBOOK PRO APPLE STORE,DR,210000.00,325868.39
2023-08-01,SALARY CREDIT ACME CORP,CR,90950.00,416818.39
2023-08-02,RENT PAYMENT LANDLORD,DR,22000.00,394818.39
2023-08-03,SPOTIFY PREMIUM,DR,114.24,394704.15
2023-08-05,NETFLIX SUBSCRIPTION,DR,523.95,394180.20
2023-08-08,BIGBASKET GROCERIES,DR,2459.13,391721.07
2023-08-18,UBER RIDE,DR,290.16,391430.91
2023-09-01,SALARY CREDIT ACME CORP,CR,91800.00,483230.91
2023-09-02,RENT PAYMENT LANDLORD,DR,22000.00,461230.91
2023-09-03,SPOTIFY PREMIUM,DR,121.38,461109.53
2023-09-05,NETFLIX SUBSCRIPTION,DR,474.05,460635.48
2023-09-08,BIGBASKET GROCERIES,DR,2489.04,458146.44
2023-09-18,UBER RIDE,DR,254.18,457892.26
2023-10-01,SALARY CREDIT ACME CORP,CR,92650.00,550542.26
2023-10-02,RENT PAYMENT LANDLORD,DR,22000.00,528542.26
2023-10-03,SPOTIFY PREMIUM,DR,117.81,528424.45
2023-10-05,NETFLIX SUBSCRIPTION,DR,499.00,527925.45
2023-10-08,BIGBASKET GROCERIES,DR,2437.09,525488.36
2023-10-18,UBER RIDE,DR,223.55,525264.81
2023-11-01,SALARY CREDIT ACME CORP,CR,93500.00,618764.81
2023-11-02,RENT PAYMENT LANDLORD,DR,22000.00,596764.81
2023-11-03,SPOTIFY PREMIUM,DR,124.95,596639.86
2023-11-05,NETFLIX SUBSCRIPTION,DR,508.98,596130.88
2023-11-08,BIGBASKET GROCERIES,DR,2351.04,593779.84
2023-11-18,UBER RIDE,DR,226.44,593553.40
2023-12-01,SALARY CREDIT ACME CORP,CR,94350.00,687903.40
2023-12-02,RENT PAYMENT LANDLORD,DR,22000.00,665903.40
2023-12-03,SPOTIFY PREMIUM,DR,113.05,665790.35
2023-12-05,NETFLIX SUBSCRIPTION,DR,489.02,665301.33
2023-12-08,BIGBASKET GROCERIES,DR,2310.00,662991.33
2023-12-18,UBER RIDE,DR,260.18,662731.15
