SAMPLE STATEMENT - SYNTHETIC DATA, NOT A REAL ACCOUNT
Generated by scripts/make_sample_statement.py for the ExpenseEye demo
Period: 01/01/2025 to 31/08/2025

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/01/25,NEFT-DR-GREENVIEW APARTMENTS-RENT,977030164,01/01/25,22000.0,,162500.0
01/01/25,POS 4218XXXX9031 BIGBASKET DAILY,551411814,01/01/25,1027.0,,161473.0
01/01/25,ATM WDL 4218XXXX9031 INDIRANAGAR,488774846,01/01/25,913.0,,160560.0
02/01/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,288789840,02/01/25,665.0,,159895.0
02/01/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,274446840,02/01/25,2596.0,,157299.0
02/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,521550335,02/01/25,1321.0,,155978.0
03/01/25,UPI-NETFLIX ENTERTAINMENT-NETFLIX@YBL,396557779,03/01/25,649.0,,155329.0
03/01/25,UPI-APOLLO PHARMACY-APOLLO@YBL,326853064,03/01/25,127.0,,155202.0
03/01/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,532496260,03/01/25,286.0,,154916.0
04/01/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,754292124,04/01/25,327.0,,154589.0
05/01/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,710662280,05/01/25,678.0,,153911.0
06/01/25,UPI-SPOTIFY INDIA-SPOTIFY@AXIS,754553067,06/01/25,119.0,,153792.0
06/01/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,800433456,06/01/25,379.0,,153413.0
06/01/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,275737823,06/01/25,216.0,,153197.0
07/01/25,UPI-APOLLO PHARMACY-APOLLO@YBL,583770372,07/01/25,710.0,,152487.0
08/01/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,974057183,08/01/25,769.0,,151718.0
09/01/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,421338079,09/01/25,366.0,,151352.0
09/01/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,390966258,09/01/25,230.0,,151122.0
10/01/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,493993144,10/01/25,2734.0,,148388.0
10/01/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,596728862,10/01/25,388.0,,148000.0
10/01/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,938323650,10/01/25,164.0,,147836.0
11/01/25,UPI-JIO PREPAID RECHARGE-JIO@PAYTM,901945168,11/01/25,399.0,,147437.0
11/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,334600520,11/01/25,925.0,,146512.0
12/01/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,721424585,12/01/25,746.0,,145766.0
12/01/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,525187742,12/01/25,378.0,,145388.0
12/01/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,845296570,12/01/25,1196.0,,144192.0
13/01/25,POS 4218XXXX9031 BIGBASKET DAILY,452639360,13/01/25,1981.0,,142211.0
14/01/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,233819557,14/01/25,188.0,,142023.0
14/01/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,232029107,14/01/25,53.0,,141970.0
14/01/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,560661724,14/01/25,1419.0,,140551.0
15/01/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,225337494,15/01/25,193.0,,140358.0
16/01/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,745796034,16/01/25,764.0,,139594.0
16/01/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,974934702,16/01/25,298.0,,139296.0
17/01/25,POS 4218XXXX9031 PULSE FITNESS,488771289,17/01/25,1499.0,,137797.0
17/01/25,POS 4218XXXX9031 BIGBASKET DAILY,451407513,17/01/25,2244.0,,135553.0
17/01/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,799773842,17/01/25,144.0,,135409.0
17/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,576038752,17/01/25,1717.0,,133692.0
18/01/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,734034047,18/01/25,2619.0,,131073.0
18/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,129987779,18/01/25,1161.0,,129912.0
19/01/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,517115207,19/01/25,2210.0,,127702.0
